Nome de anuncio;Link;Preco;Data de Extração;Preco/m2;Rua/Local/Zona;ID;Freguesia;Municipio;Distrito;area util (m2);area bruta (m2);Tipologia;Ano;No Casas de Banho;Certificado Energetico;Condicao;Negociavel;Varanda;Ar Condicionado;Aspiracao Central;Vista de Campo/Serra;Lareira;Recuperacao de Calor;Suite;Despensa;Garagem (box);Arrecadacao;Vista de Mar;Vista de Rio;Cozinha Equipada;Aquecimento Central;Mobilado;Estacionamento;Condominio Fechado;Gas Canalizado;Piscina;Box;Elevador;Kitchenette;Marquise;Parqueamento;Piso Radiante;Terraco;Vista de Lago;Caldeira
b'Apartamento T0+1 NOVO no Centro Hist\xc3\xb3rico de Braga!';https://www.imovirtual.com/pt/anuncio/apartamento-t0-1-novo-no-centro-historico-de-braga-ID15TaM.html#5935e7f6ef;208000;09/05/2021;4522;Sao Victor;BragaBragaBraga (Sao Jose de Sao Lazaro e Sao Joao do Souto);Braga (Sao Jose de Sao Lazaro e Sao Joao do Souto);BRAGA;BRAGA;46;46;T1;2021;1;B;Novo;;;s;;s;;;;;;;;;s;;;;;;;;s;s;;;;;;
b'Apartamento T2 NOVO no Centro Hist\xc3\xb3rico de Braga!';https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-no-centro-historico-de-braga-ID15Tat.html#ab89b5d2c9;425000;09/05/2021;3864;Sao Victor;BragaBragaBraga (Sao Jose de Sao Lazaro e Sao Joao do Souto);Braga (Sao Jose de Sao Lazaro e Sao Joao do Souto);BRAGA;BRAGA;110;125;T2;2021;3;A;Novo;;s;s;;s;;;s;;;;;;s;;;;;;;;s;;;s;;;;
b'T3 c/ garagem individidual e marquise a 50m da Av. Liberdade';https://www.imovirtual.com/pt/anuncio/t3-c-garagem-individidual-e-marquise-a-50m-da-av-liberdade-ID15E8u.html#4cdf238d50;114900;09/05/2021;919;Se;BragaBragaBraga (Sao Jose de Sao Lazaro e Sao Joao do Souto);Braga (Sao Jose de Sao Lazaro e Sao Joao do Souto);BRAGA;BRAGA;125;131;T3;1988;2;C;Usado;;s;;;;s;;;s;s;;;;;;;;;s;;;;;s;;;;;
b'Apartamento T3 na S\xc3\xa9 - Renovado';https://www.imovirtual.com/pt/anuncio/apartamento-t3-na-se-renovado-ID12qMa.html#e62b832300;150000;09/05/2021;1154;Rua da Feira;BragaBragaReal, Dume e Semelhe;Real, Dume e Semelhe;BRAGA;BRAGA;130;140;T3;2020;2;B;Renovado;;;;;;;s;s;;;;;;s;s;;s;;s;;;s;s;;;;;;
b'Apartamentos T2 Novos- Esposende';https://www.imovirtual.com/pt/anuncio/apartamentos-t2-novos-esposende-ID156g6.html#624a6935e4;165000;09/05/2021;1697;;BragaEsposendeEsposende, Marinhas e Gandra;Esposende, Marinhas e Gandra;ESPOSENDE;BRAGA;97;118;T2;2021;2;A;Novo;;s;;;;;;s;;s;;;;s;s;;;s;s;s;s;s;s;;;;;;
b'T1 em Esposende com garagem- varandas e piscina.';https://www.imovirtual.com/pt/anuncio/t1-em-esposende-com-garagem-varandas-e-piscina-ID15UQ1.html#1c06687563;120000;09/05/2021;1500;;BragaEsposendeEsposende, Marinhas e Gandra;Esposende, Marinhas e Gandra;ESPOSENDE;BRAGA;80;;T1;2000;;;Usado;;;;;;;;;;;;s;;s;s;;;s;;;;;;;;;;;
b'Apartamentos T2 Novos- Esposende';https://www.imovirtual.com/pt/anuncio/apartamentos-t2-novos-esposende-ID156g6.html#eb608781cc;165000;09/05/2021;1697;;BragaEsposendeEsposende, Marinhas e Gandra;Esposende, Marinhas e Gandra;ESPOSENDE;BRAGA;97;118;T2;2021;2;A;Novo;;s;;;;;;s;;s;;;;s;s;;;s;s;s;s;s;s;;;;;;
b'Apartamento T3 em Ferreiros';https://www.imovirtual.com/pt/anuncio/apartamento-t3-em-ferreiros-ID15D9f.html#10d1984553;114900;09/05/2021;912; Ferreiros;BragaBragaFerreiros e Gondizalves;Ferreiros e Gondizalves;BRAGA;BRAGA;126;;T3;1999;2;C;Usado;;;;;;s;s;s;s;;;;;s;;;s;;;;;s;;;;;;;
b'Apartamento T3 em Nogueira';https://www.imovirtual.com/pt/anuncio/apartamento-t3-em-nogueira-ID15IzB.html#6a7a733c46;109900;09/05/2021;802;Avenida Barros e Soares;BragaBragaNogueira, Fraiao e Lamacaes;Nogueira, Fraiao e Lamacaes;BRAGA;BRAGA;137;;T3;1985;2;E;Usado;;s;;;s;;;;s;;;;;s;;;;;;;s;;;;;;;;
b'Apartamento T3- em Nogueira- Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t3-em-nogueira-braga-ID15DJx.html#20d9230273;187500;09/05/2021;1442;Rua Dom Fernando da Guerra;BragaBragaNogueira, Fraiao e Lamacaes;Nogueira, Fraiao e Lamacaes;BRAGA;BRAGA;130;157;T3;2002;1;;Usado;;;;;;;;;;s;;;;;;;s;;;;;;;;;;;;
b'Apartamento T2- com garagem ampla e localiza\xc3\xa7\xc3\xa3o privilegiada- em Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t2-com-garagem-ampla-e-localizacao-privilegiada-em-braga-ID15uTY.html#026c51b5dc;112000;09/05/2021;1258;Praca Francisco de Holanda;BragaBragaNogueira, Fraiao e Lamacaes;Nogueira, Fraiao e Lamacaes;BRAGA;BRAGA;89;101;T2;1994;1;C;Usado;;s;;;s;s;;;s;s;;;;s;;;s;;s;;s;;;;;;;;
b'Apartamento T3 em Gualtar Junto a Universidade do Minho';https://www.imovirtual.com/pt/anuncio/apartamento-t3-em-gualtar-junto-a-universidade-do-minho-ID13X2l.html#8280d417af;180000;09/05/2021;1429;Travessa da Poca ;BragaBragaGualtar;Gualtar;BRAGA;BRAGA;126;155;T3;2000;2;;;;;;;;;;;;s;s;;;s;s;;;;s;;;s;;;;;;;
b'Apartamento T3 em Gualtar- Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t3-em-gualtar-braga-ID15Qdb.html#0b9c1b5817;112000;09/05/2021;982;Rua Jose Antunes Guimaraes ;BragaBragaGualtar;Gualtar;BRAGA;BRAGA;114;114;T3;1994;2;D;;;s;;;;;;;;s;;;;s;;;s;;s;;;;;;;;;;
b'Apartamentos T2- Novos- Azur\xc3\xa9m- Guimar\xc3\xa3es';https://www.imovirtual.com/pt/anuncio/apartamentos-t2-novos-azurem-guimaraes-ID14TyO.html#c2dff63b28;180000;09/05/2021;1949;Rua 24 de Junho - Aldao;BragaGuimaraesAldao;Aldao;GUIMARAES;BRAGA;92;92;T2;2020;2;I;Em construcao;;s;s;;;;;;;;;;;;;;;;;;;s;;;;;;;
b'Apartamento T5+1 de Luxo para Venda- Caldelas- Guimar\xc3\xa3es';https://www.imovirtual.com/pt/anuncio/apartamento-t5-1-de-luxo-para-venda-caldelas-guimaraes-ID154Xa.html#c2dff63b28;315000;09/05/2021;840;Rua Professor Manuel Jose Pereira;BragaGuimaraesCaldelas;Caldelas;GUIMARAES;BRAGA;375;504;T5;2010;;B;Usado;;s;s;s;;;;;s;s;;;;;s;;;;s;;;s;;;;;;;
b'Apartamento T2 Cobertura- Venda- Creixomil- Guimar\xc3\xa3es';https://www.imovirtual.com/pt/anuncio/apartamento-t2-cobertura-venda-creixomil-guimaraes-ID15Oxy.html#71930fae5c;280000;09/05/2021;3660;Viela do Padrao;BragaGuimaraesCandoso Sao Tiago e Mascotelos;Candoso Sao Tiago e Mascotelos;GUIMARAES;BRAGA;76;110;T2;2021;3;I;Novo;;s;;;s;s;;;;;;;;;s;;s;;;;;s;;;;;s;;s
b'T3 Salgueiral Residences - Guimar\xc3\xa3es';https://www.imovirtual.com/pt/anuncio/t3-salgueiral-residences-guimaraes-IDUOBh.html#0056a3a24b;210000;09/05/2021;1591;Rua de Cabo Verde - Creixomil;BragaGuimaraesCreixomil;Creixomil;GUIMARAES;BRAGA;132;;T3;2020;2;A;;;;;;;;s;s;;;;;;s;s;;;;;;;;;;;;;;
b'Apartamento T2 Novo- Venda- Creixomil- Guimar\xc3\xa3es';https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-venda-creixomil-guimaraes-ID15Oxx.html#71930fae5c;175000;09/05/2021;2093;Alameda Cidade de Lisboa - Creixomil;BragaGuimaraesCreixomil;Creixomil;GUIMARAES;BRAGA;83;101;T2;2021;2;I;Novo;;;;;s;;;;;;;;;;s;;s;;;;;s;;;;;s;;s
b'Apartamento T3 Novo- Venda- Creixomil- Guimar\xc3\xa3es';https://www.imovirtual.com/pt/anuncio/apartamento-t3-novo-venda-creixomil-guimaraes-ID15Fz3.html#389b31e575;210000;09/05/2021;2100;Travessa do Salgado - Creixomil;BragaGuimaraesCreixomil;Creixomil;GUIMARAES;BRAGA;100;228;T3;2021;3;I;Novo;;s;;;s;s;;;;s;;;;;s;;;;;;;s;;;;;;;s
b'T3 Empreendimento Colgeses - \xc3\x9altima Unidade';https://www.imovirtual.com/pt/anuncio/t3-empreendimento-colgeses-ultima-unidade-ID135sR.html#423597221b;215000;09/05/2021;1414;Rua Jeronimo de Almeida (Poeta);BragaGuimaraesUrgezes;Urgezes;GUIMARAES;BRAGA;152;;T3;2020;2;A;;;s;s;s;;;;s;;;;;;;;;s;;;;;s;;;;;;;
b'Vende-se Apartamento T3 Centro Cidade';https://www.imovirtual.com/pt/anuncio/vende-se-apartamento-t3-centro-cidade-ID10Jha.html#b80f9db895;115000;09/05/2021;958; Arcos;BragaBragaLomar e Arcos;Lomar e Arcos;BRAGA;BRAGA;120;130;T3;1988;2;C;Usado;;s;;;;s;;;s;;;;;s;;;s;;s;;;;;;;;;;
b'Andar moradia renovado em Lomar- Braga';https://www.imovirtual.com/pt/anuncio/andar-moradia-renovado-em-lomar-braga-ID15Hvl.html#f56b968f5e;120000;09/05/2021;1429; Lomar;BragaBragaLomar e Arcos;Lomar e Arcos;BRAGA;BRAGA;84;84;T2;1970;1;E;;;;;;;;;;;s;;;;;;;s;;;;;;;;;;s;;
b'T2 ao centro de Matosinhos-  junto ao metro- com varanda- lugar de gar';https://www.imovirtual.com/pt/anuncio/t2-ao-centro-de-matosinhos-junto-ao-metro-com-varanda-lugar-de-gar-ID15Uvf.html#b957de5323;215000;09/05/2021;2500; Palacio;BragaBragaMorreira e Trandeiras;Morreira e Trandeiras;BRAGA;BRAGA;86;86;T2;2001;2;C;Usado;;s;;;;s;;s;;;;;;;;;;;s;;;s;;;s;;;;
b'Apartamento T3 no centro da P\xc3\xb3voa de Lanhoso';https://www.imovirtual.com/pt/anuncio/apartamento-t3-no-centro-da-povoa-de-lanhoso-ID15rxo.html#aa06e2d780;108000;09/05/2021;900;Avenida 25 de Abril - Vila, Nossa Senhora do amparo;BragaPovoa de LanhosoPovoa de Lanhoso (Nossa Senhora do Amparo);Povoa de Lanhoso (Nossa Senhora do Amparo);POVOA DE LANHOSO;BRAGA;120;120;T3;2003;2;C;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;
b'Apartamento T2 Novo em S. Vicente';https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-em-s-vicente-ID14yoF.html#a96a7147f9;265000;09/05/2021;2704;Rua de Sao Vicente ;BragaBragaBraga (Sao Vicente);Braga (Sao Vicente);BRAGA;BRAGA;98;137;T2;2020;2;;Novo;;;;;;;;s;;;;;;;;;;;;;;;s;;;;;;
b'Apartamento T1 Novo em S. Vicente';https://www.imovirtual.com/pt/anuncio/apartamento-t1-novo-em-s-vicente-ID14yoi.html#a96a7147f9;180000;09/05/2021;2535;Rua de Sao Vicente ;BragaBragaBraga (Sao Vicente);Braga (Sao Vicente);BRAGA;BRAGA;71;81;T1;2020;1;;Novo;;;;;;;;;;;;;;;;;;;;;;;s;;;;;;
b'Apartamento T4 em S. Vicente - Vistas Fant\xc3\xa1sticas';https://www.imovirtual.com/pt/anuncio/apartamento-t4-em-s-vicente-vistas-fantasticas-ID15JlR.html#924ff5fe4f;179900;09/05/2021;1199;Rua Nova do Bico ;BragaBragaBraga (Sao Vicente);Braga (Sao Vicente);BRAGA;BRAGA;150;170;T4;1999;2;D;Usado;;;;;;;s;s;;;;;;;;;s;;s;;;s;;;;;;;
b'Apartamento T3 NOVO com terra\xc3\xa7o no centro hist\xc3\xb3rico de Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t3-novo-com-terraco-no-centro-historico-de-braga-ID15awc.html#151260a24e;247000;09/05/2021;1976;Praca do Comercio ;BragaBragaBraga (Sao Vicente);Braga (Sao Vicente);BRAGA;BRAGA;125;125;T3;2020;2;;;;;;;;;;;;;;;;;s;;;;;;;;s;;;;;;
b'Apartamento T3 em Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t3-em-braga-ID15eXO.html#937643466d;135000;09/05/2021;1184;Rua dos Torrados ;BragaBragaBraga (Sao Vicente);Braga (Sao Vicente);BRAGA;BRAGA;114;114;T3;1990;2;C;;;;;;;s;;;;s;;;;;;s;s;;;;;s;;;;;;;
b'RESERVADO | Apartamento T3 S. Vitor - c/Rentabilidade';https://www.imovirtual.com/pt/anuncio/reservado-apartamento-t3-s-vitor-c-rentabilidade-ID15eTX.html#bad89683c1;120000;09/05/2021;889;Praceta Joao Beltrao ;BragaBragaBraga (Sao Vitor);Braga (Sao Vitor);BRAGA;BRAGA;135;150;T3;2000;2;E;Usado;;s;;;;s;;s;;;;;;s;;;s;;s;;;s;;;;;;;
b'Vende-se T3 Renovado S. Vitor';https://www.imovirtual.com/pt/anuncio/vende-se-t3-renovado-s-vitor-ID15iej.html#4164c1c8c8;149000;09/05/2021;1146;Rua Padre Antonio Vieira ;BragaBragaBraga (Sao Vitor);Braga (Sao Vitor);BRAGA;BRAGA;130;148;T3;1994;2;C;Renovado;;s;;;;s;;s;;;;;;s;;;s;;s;;;s;;;;;;;
b'Vende-se T3 Renovado S. Vitor';https://www.imovirtual.com/pt/anuncio/vende-se-t3-renovado-s-vitor-ID15iej.html#8924548aac;149000;09/05/2021;1146;Rua Padre Antonio Vieira ;BragaBragaBraga (Sao Vitor);Braga (Sao Vitor);BRAGA;BRAGA;130;148;T3;1994;2;C;Renovado;;s;;;;s;;s;;;;;;s;;;s;;s;;;s;;;;;;;
b'Apartamento T1 com garagem em S.Vitor- Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t1-com-garagem-em-s-vitor-braga-ID15Oy3.html#5d85c54905;97500;09/05/2021;1573;Rua Padre Antonio Vieira ;BragaBragaBraga (Sao Vitor);Braga (Sao Vitor);BRAGA;BRAGA;62;65;T1;1994;1;;Usado;;;;;;;;;;s;;;;;;;;;;;;;;;;;;;
b'Apartamento T3 Renovado - S\xc3\xa3o Victor - Junto do Tribunal e Seguran\xc3\xa7a S';https://www.imovirtual.com/pt/anuncio/apartamento-t3-renovado-sao-victor-junto-do-tribunal-e-seguranca-s-ID15NiR.html#03111f3231;129900;09/05/2021;1237;Rua Professor Machado Vilela ;BragaBragaBraga (Sao Vitor);Braga (Sao Vitor);BRAGA;BRAGA;105;110;T3;1981;2;E;Usado;;;;;;;;;;;;;;s;;;;;s;;;s;;;;;;;
b'Apartamento T3 Duplex';https://www.imovirtual.com/pt/anuncio/apartamento-t3-duplex-ID10ONk.html#c2bfb43917;98500;09/05/2021;929;Praceta Arquitecto Jose Lamosa ;BragaBragaBraga (Sao Vitor);Braga (Sao Vitor);BRAGA;BRAGA;106;116;T3;1989;2;E;Usado;;s;;;;;;;;s;s;;;s;;;;;s;;;s;;;;;;;
b'Apartamento T4 - S. Vitor- Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t4-s-vitor-braga-ID13MJW.html#5d77f77aba;139000;09/05/2021;1103;Rua Pintor Eduardo Luis ;BragaBragaBraga (Sao Vitor);Braga (Sao Vitor);BRAGA;BRAGA;126;146;T4;1993;2;C;Usado;;s;;;s;s;s;;;s;;;;s;;;;;s;;;;;;;;;;
b'Apartamento T4 - S. Vitor- Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t4-s-vitor-braga-ID15GxB.html#df9d6ee7c5;325000;09/05/2021;1711;Rua do Conservatorio ;BragaBragaBraga (Sao Vitor);Braga (Sao Vitor);BRAGA;BRAGA;190;216;T4;2003;3;C;Usado;;;;;;;;;;s;;;;s;;s;;;s;;;s;;;;;;;
b'Apartamento T4 Venda em Braga (S\xc3\xa3o V\xc3\xadtor)-Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t4-venda-em-braga-sao-vitor-braga-ID14oAT.html#f5f4726721;290000;09/05/2021;1368;Rua Orfeao de Braga ;BragaBragaBraga (Sao Vitor);Braga (Sao Vitor);BRAGA;BRAGA;212;275;T4;2006;;B;Usado;;s;s;;s;s;s;;;s;;;;s;s;;;;s;;;s;;;;;;;
b'T1+1- apartamento pr\xc3\xb3ximo ao Braga Parque';https://www.imovirtual.com/pt/anuncio/t1-1-apartamento-proximo-ao-braga-parque-ID14GtV.html#b985e1fe50;109900;09/05/2021;1570;Rua Luis Soares Barbosa ;BragaBragaBraga (Sao Vitor);Braga (Sao Vitor);BRAGA;BRAGA;70;81;T1;1995;1;C;;;s;;;;;;;;s;;;;s;;;;;s;;;s;;;;;;;
b'T3 Totalmente Remodelado no Centro de Braga';https://www.imovirtual.com/pt/anuncio/t3-totalmente-remodelado-no-centro-de-braga-ID12pQQ.html#0db21b4458;149000;09/05/2021;1274;Rua Alfredo Vieira Gomes;BragaBragaBraga (Maximinos, Se e Cividade);Braga (Maximinos, Se e Cividade);BRAGA;BRAGA;117;130;T3;1984;2;;;;;;;;;;;;s;;;;s;;;;;;;;s;s;;;;;;
b'Apartamento T2 + 1 em Maximinos- Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t2-1-em-maximinos-braga-ID15RDT.html#bc96c709ea;85000;09/05/2021;966;Praceta Padre Sena de Freitas;BragaBragaBraga (Maximinos, Se e Cividade);Braga (Maximinos, Se e Cividade);BRAGA;BRAGA;88;95;T3;1981;2;;Usado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b'Apartamento T3 com 3 frentes em S.V\xc3\xadtor- Braga ( GULBENKIAN )';https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-3-frentes-em-s-vitor-braga-gulbenkian-ID15jpq.html#cf0c97a689;249900;09/05/2021;2524;Rua da Misericordia;BragaBragaBraga (Maximinos, Se e Cividade);Braga (Maximinos, Se e Cividade);BRAGA;BRAGA;99;138;T3;1986;2;;Renovado;;;;;;;;;;s;;;;;;;s;;;;;;;;;;;;
b'Apartamento T3 Venda em Braga (Maximinos- S\xc3\xa9 e Cividade)-Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t3-venda-em-braga-maximinos-se-e-cividade-braga-ID15OWv.html#cb233e8be0;219000;09/05/2021;1724;Rua Cardoso Avelino;BragaBragaBraga (Maximinos, Se e Cividade);Braga (Maximinos, Se e Cividade);BRAGA;BRAGA;127;155;T3;1997;2;C;Usado;;s;s;;;s;s;;s;s;;;;s;;;;;s;;;s;;;;;;;
b'Varandas Park no Parque da Cidade / Apartamentos T3 Luxo (2 Nascente)';https://www.imovirtual.com/pt/anuncio/varandas-park-no-parque-da-cidade-apartamentos-t3-luxo-2-nascente-ID14giH.html#6842956b08;315000;09/05/2021;1906;Rua Mario Cesariny;BragaVila Nova de FamalicaoAntas e Abade de Vermoim;Antas e Abade de Vermoim;VILA NOVA DE FAMALICAO;BRAGA;165;195;T3;2021;4;A;Em construcao;s;s;s;;;;;s;s;;s;;s;s;;;s;;s;;s;s;;;;;s;s;
b'Varandas Park no Parque da Cidade / Apartamentos T3 Luxo (2 Poente)';https://www.imovirtual.com/pt/anuncio/varandas-park-no-parque-da-cidade-apartamentos-t3-luxo-2-poente-ID14fC9.html#51d5477c32;315000;09/05/2021;1906;Rua Mario Cesariny;BragaVila Nova de FamalicaoAntas e Abade de Vermoim;Antas e Abade de Vermoim;VILA NOVA DE FAMALICAO;BRAGA;165;195;T3;2021;3;A;Em construcao;s;s;s;;;;;s;s;;s;;s;s;;;s;;s;;s;s;;;;;s;s;
b'Varandas Park no Parque da Cidade / Apartamentos T3 Luxo (1 Poente)';https://www.imovirtual.com/pt/anuncio/varandas-park-no-parque-da-cidade-apartamentos-t3-luxo-1-poente-ID14fkm.html#3c850d3593;315000;09/05/2021;1334;Rua Mario Cesariny;BragaVila Nova de FamalicaoAntas e Abade de Vermoim;Antas e Abade de Vermoim;VILA NOVA DE FAMALICAO;BRAGA;236;266;T3;2021;3;A;Em construcao;s;s;s;;;;;s;s;;s;;s;s;;;s;;s;;s;s;;;;;s;s;
b'Apartamento T3+1 - Covilh\xc3\xa3';https://www.imovirtual.com/pt/anuncio/apartamento-t3-1-covilha-ID15Hac.html#c3eda278cf;97500;09/05/2021;854;Rua Industria;Castelo BrancoCovilhaCovilha e Canhoso;Covilha e Canhoso;COVILHA;CASTELO BRANCO;114;141;T4;1968;2;D;Usado;;s;;;;;;;s;;;;;;;;;;s;;;;;;;;;;
b'Apartamento T2 - Canhoso-  Covilh\xc3\xa3';https://www.imovirtual.com/pt/anuncio/apartamento-t2-canhoso-covilha-ID15gow.html#8cefca2da2;67500;09/05/2021;689;Quinta da Varzea;Castelo BrancoCovilhaCovilha e Canhoso;Covilha e Canhoso;COVILHA;CASTELO BRANCO;98;124;T2;1988;1;C;Usado;;s;s;;;s;s;;s;;s;;;;;;;;s;;;;;;;;;;
b'Apartamento T2 - Covilh\xc3\xa3';https://www.imovirtual.com/pt/anuncio/apartamento-t2-covilha-ID15QdT.html#eb608781cc;73000;09/05/2021;903;Travessa Rodrigo;Castelo BrancoCovilhaCovilha e Canhoso;Covilha e Canhoso;COVILHA;CASTELO BRANCO;80;98;T2;1995;1;C;Usado;;;s;;;s;s;;;;s;;;;;;s;;s;;;s;;s;;;s;;
b'Apartamento T3 - Covilh\xc3\xa3';https://www.imovirtual.com/pt/anuncio/apartamento-t3-covilha-ID15TNV.html#a826025483;79000;09/05/2021;958;Rua Montes Herminios;Castelo BrancoCovilhaCovilha e Canhoso;Covilha e Canhoso;COVILHA;CASTELO BRANCO;82;84;T3;1965;2;C;Renovado;;s;;;s;;;;s;;s;;;;;;;;;;;;;;;;;;
